source_id,source_type,\bsurveillance\b,\bdynamic\b,\balgorithmic\b,\b(?:AI|artificial intelligence)\b,\bpersonali[sz](?:e|ed|ing|ation)\b,\bindividuali[sz]ed\b,\bdemand[-\s]?driven\b,\bdemand\b,\bdifferential\b,\bcontinuous\b,\bdata[-\s]?driven\b,\breal[-\s]?time\b,\bpredatory\b,\boptimi[sz](?:e|ed|ing|ation)\b,\bcustomi[sz](?:e|ed|ing|ation)\b,\btarget(?:ed|ing)?\b
a-modern-retailing-experience-american-airlines-signs-new-agreements-with-all-th,company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
american-airlines-aal-q2-2025-earnings-transcript-the-motley-fool,company,0,0,0,7,0,0,0,21,0,0,0,0,0,1,0,2
american-airlines-ceo-does-not-hold-back-on-deltas-controversial-move,third party with company statement,0,4,0,9,0,2,0,0,0,0,0,1,0,0,0,2
american-airlines-ceo-says-using-ai-to-set-fares-is-a-bait-and-switch,third party with company statement,0,2,0,13,0,2,0,1,0,0,0,0,0,0,0,2
american-airlines-retailing-american-airlines-global-sales,company,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
american-charges-solo-flyers-more-on-half-of-domestic-one-ways,third party,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
americans-ceo-says-the-airline-wont-use-ai-to-bait-and-switch-ticket-shoppers,third party with company statement,0,1,0,14,2,1,0,2,0,0,0,0,0,0,0,3
do-airlines-charge-solo-travelers-more-some-deal-experts-says-yes-the-washington-post,third party,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
new-data-confirms-airlines-charging-more-for-solo-passengers-but-its-not-as-bad-,third party,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
privacy-policy-support-american-airlines,company,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3
