source_id,\bsurveillance\b,\bdynamic\b,\balgorithmic\b,\b(?:AI|artificial intelligence)\b,\bpersonali[sz](?:e|ed|ing|ation)\b,\bindividuali[sz]ed\b,\bdemand[-\s]?driven\b,\bdemand\b,\bdifferential\b,\bcontinuous\b,\bdata[-\s]?driven\b,\breal[-\s]?time\b,\bpredatory\b,\boptimi[sz](?:e|ed|ing|ation)\b,\bcustomi[sz](?:e|ed|ing|ation)\b,\btarget(?:ed|ing)?\b
class-action-lawsuit-alleges-jetblue-secretly-tracks-traveler-data-for-dynamic-t,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
did-jetblue-just-admit-to-surveillance-pricing-airline-now-says-viral-post-about,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
jetblue-complaint-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jetblue-responds-to-accusations-of-using-surveillance-pricing-after-viral-tweet,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
jetblue-sued-over-claims-it-tracked-browsing-to-adjust-flight-prices-fox-news,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
jetblue-sued-over-claims-it-uses-customers-personal-data-to-set-ticket-prices-ai,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
jetblue-surveillance-pricing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jetblue-told-a-customer-to-clear-his-cookies-after-a-230-price-hikethen-deleted-,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
jetblue-used-customers-personal-data-to-set-ticket-prices-lawsuit-alleges-cbs-ne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lawmakers-question-if-jetblue-is-using-personal-data-to-set-ticket-prices-reuter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
news-casar-gallego-demand-answers-from-jetblue-about-surveillance-pricing-repres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surveillance-pricing-the-next-frontier-of-privacy-litigation-publications-insigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
