source_id,source_title,source_publisher,source_type,source_origin,url,publication_date,access_date,pricing_terms_used,information_tracked,summary,key_excerpts
class-action-lawsuit-alleges-jetblue-secretly-tracks-traveler-data-for-dynamic-t,"""Class Action Lawsuit Alleges JetBlue Secretly Tracks Traveler Data for Dynamic Ticket Pricing""",ClassAction.org,legal news article,third party with company statement,https://www.classaction.org/news/class-action-lawsuit-alleges-jetblue-secretly-tracks-traveler-data-for-dynamic-ticket-pricing,2026-04-29,2026-05-06,"dynamic surveillance pricing, dynamic ticket pricing, behavioral analytics, dynamic pricing, surveillance pricing","""traveler information, online tracking data, consumer activity, behavioral information, zip code, socioeconomic status, geolocation, device/platform inferences""","ClassAction.org summarizes Andrew Phillips's proposed class action alleging that JetBlue uses website tracking tools and third-party vendors to collect traveler data for dynamic surveillance pricing. The article says the complaint treats JetBlue's deleted incognito-window advice as an apparent admission, while noting that JetBlue later denied using dynamic surveillance pricing. It frames the legal issue as privacy and disclosure: whether JetBlue secretly collected or shared data for pricing without adequate consent.","""JetBlue faces a proposed class action lawsuit that alleges the airline does not disclose its use of online tracking technology to gather travelers’ data for the purpose of using the information to set ticket prices, a practice called “dynamic surveillance pricing.”"" | ""Although JetBlue has since denied that its website uses dynamic surveillance pricing, the case says that other public statements, the de facto social media admission, and even the website’s back-end code ‘say otherwise.’"" | ""Traveler information input into the JetBlue website is transmitted to two third-party companies, PROS Holdings, Inc. and FullStory, Inc."""
did-jetblue-just-admit-to-surveillance-pricing-airline-now-says-viral-post-about,"""Did JetBlue just admit to surveillance pricing? Airline now says viral post about $230 fare hike was an error.""",MarketWatch / Dow Jones via Morningstar,news article,third party with company statement,https://www.morningstar.com/news/marketwatch/20260425126/did-jetblue-just-admit-to-surveillance-pricing-airline-now-says-viral-post-about-230-fare-hike-was-an-error,2026-04-25,2026-05-06,"surveillance pricing, individualized prices, personal data, price gouging, algorithms, cached data, real-time availability, demand","""cached data, personal information, search history, location, cookies, users' locations""","MarketWatch reports that JetBlue's deleted social-media advice to clear cache or use incognito mode triggered accusations that the airline uses surveillance pricing. JetBlue apologized and said the post was an employee error, denying that fares are determined by cached data or personal information and saying pricing is based on real-time availability and demand. The article also contextualizes the dispute with consumer advocates, travel agents, and state legislative responses to surveillance pricing.","""JetBlue (JBLU) has since deleted the post and called it an employee's ‘error,’ but not before the internet flagged the response as a quiet admission of surveillance pricing."" | ""A JetBlue spokesperson apologized for this week's error in an email to MarketWatch and said its fares ‘are not determined by cached data or other personal information.’"" | ""Instead, the airline said pricing is based on real-time availability and can change at any moment based on demand."""
jetblue-complaint-1,"""Phillips v. JetBlue Airways Corporation Class Action Complaint""",U.S. District Court for the Eastern District of New York / ClassAction.org,lawsuit complaint,third party with company statement,https://www.classaction.org/media/jetblue-complaint_1.pdf,2026-04-22,2026-05-06,"dynamic surveillance pricing, behavioral analytics, dynamic pricing, surveillance pricing, real-time dynamic pricing, personalized prices, differential price offers, AI-powered algorithms","""personally identifiable information, travelers' names, email address, internet protocol address, government identification, full name, address, travel information, payment information, passenger type, departure and destination data, dates of travel, booking origin, region, language, operating system and platform, geolocation, products and services viewed, purchases and purchase history, browsing/shopping/purchasing habits""","The complaint alleges that JetBlue secretly uses tracking technology and third-party vendors, including FullStory and PROS, to collect traveler data and support dynamic surveillance pricing. It claims JetBlue's privacy disclosures omit the use of consumer data for pricing and points to the deleted cache/incognito social-media response as evidence. The complaint also quotes JetBlue's denial that cached data, AI, or personal data are used to set individual pricing and asserts privacy, consumer-protection, and unlawful selling-practices claims.","""This is one of the very first class actions in American history regarding dynamic surveillance pricing and the surreptitious use of consumer data in order to set pricing based on consumer behavior."" | ""There are no disclosures of the use of consumer data for the purpose of dynamic surveillance pricing."" | ""JetBlue fares on JetBlue.com and our mobile app[lication] are not determined by cached data or any other personal information. We do not use AI or personal data to set individual pricing. All customers have access to the same fares."""
jetblue-responds-to-accusations-of-using-surveillance-pricing-after-viral-tweet,"""JetBlue Responds to Accusations of Using Surveillance Pricing After Viral Tweet""",Gizmodo,news article,third party with company statement,https://gizmodo.com/jetblue-responds-to-accusations-of-using-surveillance-pricing-after-viral-tweet-2000748602,2026-04-20,2026-05-06,"surveillance pricing, dynamic pricing, algorithmic pricing, AI, cached data, real-time availability, demand","""location, age, sex, income level, cached data, personal information, private broker data""","Gizmodo covers the viral X exchange in which JetBlue advised a customer facing a $230 fare increase to clear cache or use incognito mode. JetBlue told Gizmodo the reply was incorrect, apologized, and denied that fares on its website or app are determined by cached data or personal information. The article places the incident in a broader discussion of surveillance pricing, dynamic pricing, AI-set prices, and algorithmic pricing controversies.","""But JetBlue denies that it’s using personal information to adjust prices for consumers."" | ""The reply from our JetBlue crewmember on social media was incorrect, and we apologize for the error."" | ""JetBlue fares on JetBlue.com and our mobile app are not determined by cached data or other personal information."" | ""Fares can change at any moment as seats are purchased or as inventory is adjusted based on demand, and are not guaranteed until a purchase is completed."""
jetblue-sued-over-claims-it-tracked-browsing-to-adjust-flight-prices-fox-news,"""JetBlue lawsuit raises airline pricing questions""",Fox News / CyberGuy,news article,third party with company statement,https://www.foxnews.com/tech/jetblue-lawsuit-raises-airline-pricing-questions,2026-05-02,2026-05-06,"surveillance pricing, dynamic pricing, AI-driven pricing, personal data, individual pricing, real time, demand","""browsing activity, user characteristics, location, device type, browsing history, IP address, search behavior""","Fox News explains the JetBlue lawsuit and the broader concern that surveillance pricing could use personal data to adjust prices for different people. The article reports JetBlue's public denial that it uses personal data or browsing history to set individual prices and says the airline attributes fares to demand and seat availability. It also discusses AI-based airline pricing and gives consumer privacy advice while noting that price changes can occur for ordinary inventory and demand reasons.","""The proposed class action claims the airline tracked a customer's behavior during the booking process for the purpose of setting or adjusting ticket prices."" | ""In a public statement, JetBlue said it does not use personal data or browsing history to set individual prices and that all customers have access to the same fares at the same time."" | ""JetBlue said the reply came from a customer service employee and was a mistake."""
jetblue-sued-over-claims-it-uses-customers-personal-data-to-set-ticket-prices-ai,"""JetBlue sued over claims it uses customers’ personal data to set ticket prices""",The Guardian / Reuters,news article,third party with company statement,https://www.theguardian.com/business/2026/apr/23/jetblue-lawsuit-personal-data-ticket-prices,2026-04-23,2026-05-06,"surveillance pricing, personal data, artificial intelligence, demand, dynamic prices","""browsing histories, locations, other personal data, trackers, third-party shared data, cached data""","The Guardian republishes Reuters coverage of the proposed class action alleging JetBlue used customers' personal data to set ticket prices after a deleted X response raised surveillance-pricing concerns. The piece reports that JetBlue declined to comment on the lawsuit but said it does not use personal data or AI to set ticket prices. It also notes JetBlue's explanation that the X response was incorrect and that fares change as seats are purchased or inventory is adjusted based on demand.","""JetBlue has been sued in a proposed class action claiming it uses customers’ personal data to set ticket prices."" | ""JetBlue declined to comment on the lawsuit on Thursday. It also said it does not use personal data or artificial intelligence to set ticket prices."" | ""Fares can change at any moment as seats are purchased or as inventory is adjusted based on demand."""
jetblue-surveillance-pricing,"""Letter to JetBlue CEO Joanna Geraghty Regarding Surveillance Pricing""",Representative Greg Casar / Senator Ruben Gallego,congressional letter,third party with company statement,https://casar.house.gov/sites/evo-subsites/casar.house.gov/files/evo-media-document/jetblue-surveillance-pricing.pdf,2026-04-21,2026-05-06,"surveillance-based price setting, personalized prices, artificial intelligence, cached data, personal information, differential price offers, pricing model, algorithms","""web browser data, browser cache, cookies, individualized data, customer data, third-party customer data, browsing habits, shopping habits, purchasing habits""","Representative Casar and Senator Gallego ask JetBlue CEO Joanna Geraghty to answer questions about potential surveillance-based pricing after the airline advised a customer to clear cache or use incognito mode. The letter acknowledges JetBlue's claim that fares are not determined by cached data or personal information but says the episode raises questions about how JetBlue defines personal data and whether personal data informs prices. It asks about browser data, AI, third-party pricing vendors, data sources, data retention, third-party data purchases, and personalized or differential price offers.","""We are writing to request information about JetBlue’s potential use of surveillance-based price setting, or the practice of using customer data and, often, artificial intelligence to inform personalized prices."" | ""While JetBlue claimed in the wake of this post that fares are not ‘determined’ by cached data or other personal information, this exchange still raises questions about how JetBlue sets prices."" | ""Does JetBlue use customer data to set personalized or differential price offers?"""
jetblue-used-customers-personal-data-to-set-ticket-prices-lawsuit-alleges-cbs-ne,"""JetBlue used customers' personal data to set ticket prices, lawsuit alleges""",CBS News,news article,third party with company statement,https://www.cbsnews.com/news/jetblue-lawsuit-surveillance-pricing-personal-data-tickets/,2026-04-23,2026-05-06,"surveillance pricing, personal data, individual pricing, demand, seat availability, artificial intelligence","""internet history, demographic factors, other factors, personal information, web browsing history, location, browser history""","CBS News reports on Andrew Phillips's proposed class action alleging JetBlue collected customers' personal data without consent and used it to set ticket prices. JetBlue denied using consumers' personal data, personal information, or web browsing history to set individual pricing and said fares are determined by demand and seat availability with the same fares available to all customers. CBS also reports JetBlue's statement that the social-media advice was a customer-service mistake and would not have changed available fares.","""A new lawsuit alleges that JetBlue collected customers' personal data without their consent and used it to set ticket prices."" | ""JetBlue does not use personal information or web browsing history to set individual pricing."" | ""Fares are determined by demand and seat availability, and all customers have access to the same fares on jetblue.com and our mobile app."" | ""The steps the crewmember suggested would not have changed the airfares available for purchase."""
lawmakers-question-if-jetblue-is-using-personal-data-to-set-ticket-prices-reuter,"""Lawmakers question if JetBlue is using personal data to set ticket prices""",Reuters,news article,third party with company statement,https://www.reuters.com/world/us/lawmakers-question-if-jetblue-is-using-personal-data-set-ticket-prices-2026-04-21/,2026-04-21,2026-05-06,"personal data, surveillance pricing, individualized algorithmic prices, market-wide pricing, AI, demand","""cached data, personal data, browsing history, location, shopping habits""","Reuters reports that Representative Greg Casar and Senator Ruben Gallego asked JetBlue whether customer personal data is used to set ticket prices after a social-media post suggested clearing cache or using incognito mode. JetBlue told Reuters the response was made in error and that prices are not determined by cached data or other personal data, while fares can change as seats are purchased or inventory is adjusted based on demand. The article situates the JetBlue inquiry alongside congressional concern about AI and surveillance pricing in travel.","""Two Democratic lawmakers on Tuesday asked JetBlue Airways to answer questions about whether it was using customer personal data to set ticket prices after a company social media post sparked concerns."" | ""JetBlue ... told Reuters on Monday the post in response to a customer was made in error and that prices are not determined by cached data or other personal data."" | ""Surveillance pricing is a strategy where companies use a consumer's personal data — such as browsing history, location and shopping habits — to set individualized, algorithmic prices."""
news-casar-gallego-demand-answers-from-jetblue-about-surveillance-pricing-repres,"""NEWS: Casar, Gallego Demand Answers From JetBlue About Surveillance Pricing""",Representative Greg Casar,congressional press release,third party with company statement,https://casar.house.gov/media/press-releases/news-casar-gallego-demand-answers-jetblue-about-surveillance-pricing,2026-04-21,2026-05-06,"surveillance pricing, customer data, artificial intelligence, cached data, personal information, personal data","""customer data, cached data, personal information, personal data, external vendor data, need for travel""","Representative Casar's press release announces a Casar-Gallego letter requesting information about JetBlue's potential use of customer data and AI to set consumer prices. The release frames JetBlue's cache/incognito response as a clear suggestion of surveillance pricing, while acknowledging JetBlue's subsequent claim that airfares are not determined by cached data or personal information. It says lawmakers are asking about JetBlue's definition of personal data, external pricing vendors, and whether personal data informs prices in any capacity.","""On Monday, Rep. Greg Casar (TX-35) and Sen. Ruben Gallego (AZ) sent a letter to JetBlue Airlines requesting information about JetBlue’s potential use of customer data and artificial intelligence to set prices for consumers."" | ""While JetBlue subsequently claimed that airfares are not ‘determined’ by cached data or personal information, Casar and Gallego are demanding answers."" | ""Casar and Gallego write they are ‘especially concerned that customers could be charged different prices for the same flight based on their need for travel, such as attending a funeral.’"""
jetblue-told-a-customer-to-clear-his-cookies-after-a-230-price-hikethen-deleted-,"""JetBlue told a grieving customer to clear his cookies after a $230 price hike—then deleted the evidence""",Fortune,news article,third party with company statement,https://fortune.com/2026/04/21/jetblue-airline-price-fares-cookie-cache-surveillance-pricing/,2026-04-21,2026-05-07,"surveillance pricing, cached data, personal browsing information, real-time availability, demand, individualized pricing","""cache, cookies, browser history, personal browsing information, personal information, advertising cookies, trackers""","Fortune reports on JetBlue's deleted X response advising a customer facing a $230 fare increase to clear cache/cookies or use incognito mode. JetBlue told Fortune the reply was incorrect and denied that fares are determined by cached data or other personal information, saying pricing is based on real-time availability, reservation-system inventory, and demand. The article connects the episode to wider FTC and state attention to surveillance pricing and consumer tracking.","""In a statement to Fortune, the company said it does not determine fares via personal browsing information."" | ""The reply from our JetBlue crewmember on social media was incorrect, and we apologize for the error."" | ""JetBlue fares on JetBlue.com and our mobile app are not determined by cached data or other personal information."" | ""Pricing is based on real-time availability and is managed through our reservation system."""
privacy-policy,"""Privacy Policy""",JetBlue Airways Corporation,privacy policy,company,https://www.jetblue.com/legal/privacy,2026-05-07,2026-05-07,"personal information, personalized customer experience, targeted ads, interest-based advertising, matched ads, tracking technologies, analytics, advertising","""contact data, billing information, demographic data, profile data, interests, inferences, preferences, passenger data, IP address, device identifier, browser type, operating system, mobile device type, wireless carrier, service use data, pages viewed, information searched for, geolocation information, products and services viewed and purchased, purchase history, time of day, referring and exiting pages, cookies, web beacons, embedded scripts, device fingerprinting, partner data, data broker data, social network data, biometric data""","JetBlue's privacy policy describes the personal information, usage data, tracking technologies, partner data, third-party data sources, and biometric data the company collects and shares. It states that JetBlue uses information to provide booking and travel services, optimize services, send marketing, personalize customer experiences, and serve relevant ads, while saying it does not sell personal information and uses it only in accordance with the policy. The policy does not say JetBlue uses personal data to set ticket prices, but it documents many data categories and advertising/analytics practices relevant to surveillance-pricing allegations.","""When you use the JetBlue Services, your information and activity data is collected in several ways."" | ""Usage Information may include, but is not limited to, the internet protocol ('IP') address... pages viewed, information searched for, access times, geo-location information, and/or other statistics and information about your use of the JetBlue Services."" | ""We also collect information from other sources... Data brokers or resellers from which we receive data to supplement the data we collect."" | ""personalize your customer experience and serve you with advertisements and other information appropriate and relevant to you and your interests throughout the JetBlue Services."""
squire-v-jetblue-airways-corporation-1-2026cv02629,"""Squire v. JetBlue Airways Corporation 1:2026cv02629""",Justia / U.S. District Court for the Eastern District of New York,docket,third party,https://dockets.justia.com/docket/new-york/nyedce/1:2026cv02629/545476,2026-05-01,2026-05-07,"none stated","""none stated""","Justia's docket page records a second class-action complaint filed against JetBlue in the Eastern District of New York by Cynthia Squire. The docket identifies the cause of action as 18 U.S.C. § 2511 wiretapping and lists the initial complaint and notice of appearance, but the page itself does not summarize the pricing allegations or state the data inputs at issue. It is relevant as evidence of separate litigation against JetBlue following the Phillips complaint.","""Squire v. JetBlue Airways Corporation"" | ""Filed: May 1, 2026"" | ""Cause of Action: 18 U.S.C. § 2511 Wiretapping"" | ""COMPLAINT (Class Action) against JetBlue Airways Corporation."""
surveillance-pricing-the-next-frontier-of-privacy-litigation-publications-insigh,"""Surveillance Pricing: The Next Frontier of Privacy Litigation""",Faegre Drinker Biddle & Reath LLP,legal analysis,third party with company statement,https://www.faegredrinker.com/en/insights/publications/2026/5/surveillance-pricing-the-next-frontier-of-privacy-litigation,2026-05-05,2026-05-07,"surveillance pricing, algorithmic pricing, targeted pricing, personalized pricing, dynamic pricing, personalized algorithmic pricing, AI, real-time pricing, data-driven pricing","""consumer data, personal information, personal data, third-party data, location, browsing history, demographic traits, shopping histories, locations, IP address, geolocation data, pages visited, purchases and purchase history, user-specific website data, search behavior, session history, buyer behavior""","Faegre Drinker analyzes the emerging regulatory and litigation risk around surveillance pricing and identifies the JetBlue lawsuits as early privacy and consumer-fraud class actions in this area. The article distinguishes ordinary supply-and-demand dynamic pricing from surveillance pricing based on individual consumer attributes and summarizes federal, state, and private-litigation developments. Its JetBlue discussion says Phillips and Squire allege that JetBlue used individualized consumer data collected through tracking technologies and third-party vendors to inform pricing, while contrasting those allegations with JetBlue's public privacy representations.","""A major airline was recently named as a defendant in one of the first putative class actions ever filed alleging claims related to surveillance pricing practices."" | ""Surveillance pricing refers to a company setting prices for individual consumers based on attributes unique to the individual consumers that are unrelated to broader supply or demand pressures."" | ""On April 22, 2026, a plaintiff filed suit against JetBlue Airways, alleging that JetBlue's use of individualized consumer data — collected through website tracking technologies and shared with third-party analytics and pricing vendors — violates the federal Electronic Communications Privacy Act."" | ""The complaint contrasts JetBlue's public representations — e.g., that its 'privacy commitments are fundamental to the way we run our business' — with alleged omissions in its privacy policy and cookie disclosures."""
