source_id,source_type,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\boptimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bautomated\b,\bgoug(?:e|es|ed|ing)\b
brown-demands-transparency-from-uber-and-lyft-on-surge-pricing-united-states-com,third party with company statement,0,7,12,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0
comer-investigates-use-of-artificial-intelligence-to-set-prices-for-consumers-un,third party,4,0,2,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
consumer-alert-details-uber-example-of-surveillance-pricing,third party with company statement,15,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
how-ubers-dynamic-pricing-model-works,company,0,6,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
leaving-money-on-the-dashboard-price-dispersion-and-search-frictions-on-uber-and,third party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not-even-nice-work-if-you-can-get-it-ubers-algorithmic-pay-and-pricing,third party,0,64,66,14,1,0,0,3,4,0,7,1,1,1,2,0,0,1,0
second-study-finds-uber-used-opaque-algorithm-to-dramatically-boost-profits-uber,third party with company statement,0,5,9,0,1,0,0,0,2,0,2,1,1,0,0,0,0,1,0
uber-doordash-start-disclosing-if-apps-use-customer-data-to-set-prices-business-,third party with company statement,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uber-marketplace-pricing-uber,company,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0
uber-privacy-notice-drivers-and-delivery-people,company,0,0,4,6,15,0,0,1,0,0,1,1,6,0,0,0,0,7,0
uber-riders-complain-they-were-charged-more-for-paying-with-amex-cards-fortune,third party with company statement,0,2,1,1,4,0,0,0,0,0,2,1,2,0,0,0,0,0,0
unpacking-uber-lyfts-take-rates-july-2025-update,third party,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3
will-other-companies-follow-ubers-lead-into-the-black-hole-of-opaque-algorithmic,third party with company statement,0,5,30,9,1,2,0,2,34,4,9,13,2,0,0,0,0,0,2
